Ticker,Name,Shares,AvgCost,Price,MarketValue,TotalReturn
ALGS,Aligos Therapeutics,141.067,12.99,10.37,1462.86,-369.58
ASST,"Strive, Inc.",120.0,1.46,0.836,100.32,-74.88
BRAG,Bragg Gaming Group,71.68,5.61,2.2,157.7,-244.32
CERO,CERo Therapeutics Holdings,1000.0,0.2299,0.0965,96.5,-133.4
CIFR,Cipher Mining,25.0,14.05,15.47,386.75,35.5
FIG,Figma,1.0,146.0,37.11,37.11,-108.89
HNST,The Honest Company,15.0,3.97,2.7,40.5,-19.05
INSM,Insmed Incorporated,15.0,111.9,162.52,2437.8,759.32
IREN,IREN Limited,13.0,49.94,36.99,480.87,-168.3
OPEN,Opendoor Technologies,176.0,7.47,6.28,1105.28,-208.64
QBTS,D-Wave Quantum,65.0,4.42,25.1,1631.5,1344.05
RGTI,Rigetti Computing,65.0,7.23,22.92,1489.8,1019.61
RLMD,Relmada Therapeutics,21.0,2.69,4.16,87.36,30.87
RR,Richtech Robotics,155.0,2.35,3.44,533.2,168.9
USD,CASH,,,,0.0,
