Ticker,symbol,price,prev_close,open,high,low,ts_ms,source,error,category
AAPL,AAPL,255.53,258.21,257.90999999999997,258.9,254.93,1768597200000,finnhub,,CORE
MSFT,MSFT,459.86,456.66,457.84,463.19,456.48,1768597200000,finnhub,,CORE
NVDA,NVDA,186.23,187.05,189.08499999999998,190.44,186.08,1768597200000,finnhub,,CORE
GOOGL,GOOGL,330.0,332.78,334.42,334.65,327.7,1768597200000,finnhub,,CORE
META,META,620.25,620.8,624.1862,629.08,620.08,1768597200000,finnhub,,CORE
AMZN,AMZN,239.12,238.18,239.095,239.57,236.41,1768597200000,finnhub,,CORE
TSLA,TSLA,437.5,438.57,439.51,447.25,435.2601,1768597200000,finnhub,,CORE
AMD,AMD,231.83,227.92,234.31,234.49,228.86,1768597200000,finnhub,,CORE
NFLX,NFLX,88.0,88.05,88.345,88.51,87.78,1768597200000,finnhub,,CORE
ORCL,ORCL,191.09,189.85,189.92,191.87,186.53,1768597200000,finnhub,,CORE
IBM,IBM,305.67,297.95,301.01,307.45,300.78,1768597200000,finnhub,,CORE
AVGO,AVGO,351.71,343.02,346.275,354.51,344.05,1768597200000,finnhub,,CORE
QCOM,QCOM,159.42,161.39,161.39999999999998,161.7,159.21,1768597200000,finnhub,,CORE
INTC,INTC,46.96,48.32,49.28,50.21,46.71,1768597200000,finnhub,,CORE
NOW,NOW,127.31,131.17,129.70999999999998,131.35,126.85,1768597200000,finnhub,,CORE
COIN,COIN,241.15,239.28,239.495,243.19,236.14,1768597200000,finnhub,,CORE
PLTR,PLTR,170.96,177.07,179.37,182.43,170.01,1768597200000,finnhub,,CORE
MU,MU,362.75,336.63,353.11,365.81,352.04,1768597200000,finnhub,,CORE
CRWD,CRWD,453.88,455.0,456.76,459.7,443.6145,1768597200000,finnhub,,CORE
BBAI,BBAI,6.12,6.17,6.21,6.36,6.04,1768597200000,finnhub,,CORE
RGTI,RGTI,25.62,24.7,25.125,26.18,24.56,1768597200000,finnhub,,CORE
INSM,INSM,161.42,159.27,160.35999999999999,163.98,158.39,1768597200000,finnhub,,CORE
OPEN,OPEN,6.67,6.3,6.3999999999999995,6.92,6.31,1768597200000,finnhub,,CORE
HOOD,HOOD,108.74,110.35,111.06,111.25,106.88,1768597200000,finnhub,,CORE
SLV,SLV,81.02,83.32,80.34,81.52,78.745,1768597200000,finnhub,,CORE
AG,AG,21.5,20.34,20.065,21.54,19.335,1768597200000,finnhub,,CORE
CHPT,CHPT,6.98,6.89,6.88,7.17,6.8,1768597200000,finnhub,,CORE
ALGS,ALGS,7.94,8.26,8.299999999999999,8.6437,7.94,1768597200000,finnhub,,CORE
JPM,JPM,312.47,309.26,310.36,317.21,310.0,1768597200000,finnhub,,CORE
BAC,BAC,52.97,52.59,52.695,53.38,52.245,1768597200000,finnhub,,CORE
GS,GS,962.0,975.86,973.01,984.7,957.0,1768597200000,finnhub,,CORE
MS,MS,189.09,191.23,190.565,192.68,189.0,1768597200000,finnhub,,CORE
WFC,WFC,88.38,88.96,88.97,89.6918,88.08,1768597200000,finnhub,,CORE
XOM,XOM,129.89,129.13,128.92,130.16,128.87,1768597200000,finnhub,,CORE
CVX,CVX,166.26,166.16,166.6,167.29,165.81,1768597200000,finnhub,,CORE
COP,COP,98.19,98.93,97.51,98.95,97.1255,1768597200000,finnhub,,CORE
SLB,SLB,46.73,46.57,46.69,46.99,46.31,1768597200000,finnhub,,CORE
CAT,CAT,646.89,647.18,651.98,655.68,641.01,1768597200000,finnhub,,CORE
BA,BA,247.68,247.74,247.76,248.19,244.96,1768597200000,finnhub,,CORE
GE,GE,325.12,319.94,321.73,325.55,318.7,1768597200000,finnhub,,CORE
HON,HON,219.39,215.02,219.23,220.63,216.5301,1768597200000,finnhub,,CORE
UNH,UNH,331.02,338.96,334.87,336.2,330.43,1768597200000,finnhub,,CORE
JNJ,JNJ,218.66,219.57,219.04999999999998,220.11,218.135,1768597200000,finnhub,,CORE
PFE,PFE,25.65,25.89,25.900000000000002,25.900000000000002,25.55,1768597200000,finnhub,,CORE
MRK,MRK,108.83,110.97,110.72500000000001,110.73,108.43,1768597200000,finnhub,,CORE
LLY,LLY,1038.4,1032.97,1024.44,1049.94,1018.0,1768597200000,finnhub,,CORE
PG,PG,144.53,144.63,143.76999999999998,144.73,143.655,1768597200000,finnhub,,CORE
KO,KO,70.44,70.48,70.30000000000001,70.74,70.04,1768597200000,finnhub,,CORE
PEP,PEP,146.32,146.57,147.17,147.55,145.51,1768597200000,finnhub,,CORE
MCD,MCD,307.43,308.62,306.9,308.525,305.84,1768597200000,finnhub,,CORE
NKE,NKE,64.38,64.59,64.4,64.59,63.6801,1768597200000,finnhub,,CORE
COST,COST,963.61,956.75,962.01,964.98,951.0001,1768597200000,finnhub,,CORE
SPY,SPY,691.66,692.24,693.67,694.25,690.1,1768597200000,finnhub,,CORE
QQQ,QQQ,621.26,621.78,625.51,626.08,618.88,1768597200000,finnhub,,CORE
DIA,DIA,493.42,494.48,494.51,496.0,492.27,1768597200000,finnhub,,CORE
IWM,IWM,265.76,265.51,265.875,267.215,264.71,1768597200000,finnhub,,CORE
VIX,VIX,,,,,,,,no_price,CORE
KLAC,KLAC,1567.82,1544.96,1574.68,1581.34,1535.1,1768597200000,finnhub,,ADDON_RANDOM
SMCI,SMCI,32.64,29.42,29.73,32.98,29.6,1768597200000,finnhub,,ADDON_RANDOM
TMUS,TMUS,,,,,,,,http 429,ADDON_RANDOM
PYPL,PYPL,,,,,,,,http 429,ADDON_RANDOM
SCHW,SCHW,,,,,,,,http 429,ADDON_RANDOM
ZS,ZS,,,,,,,,http 429,ADDON_RANDOM
DIS,DIS,,,,,,,,http 429,ADDON_RANDOM
